Entity,Year,"Child Labour (All, World, ILO-IPEC)","Child Labour (Boys, World, 2000-2012)","Child Labour (Girls, World, 2000-2012)",Children (5-14 years) in employment,Children (5-14 yearas) not in employment,Child labour (incidence)
World,2000,23,23.4,22.5,211000000,987864000,
World,2004,20.6,21.3,19.9,196047000,1014120000,
World,2008,19.3,21.4,16.9,176452000,1040458000,
World,2012,16.7,18.1,15.2,144066000,1076832000,
5-14 years,2000,,,,,,17.6
5-14 years,2004,,,,,,16.2
5-14 years,2008,,,,,,14.5
5-14 years,2012,,,,,,11.8
15-17 years,2000,,,,,,42.4
15-17 years,2004,,,,,,35.2
15-17 years,2008,,,,,,35
15-17 years,2012,,,,,,33
