Entity,Year,Green Climate Fund Pledges (USD per capita)
Belgium,2016,6.18
Australia,2016,7.92
Austria,2016,4.09
Bulgaria,2016,0.02
Canada,2016,7.79
Chile,2016,0.02
Czech Republic,2016,0.57
Cyprus,2016,0
Colombia,2016,0.01
Finland,2016,8.49
Estonia,2016,0.99
Denmark,2016,12.73
France,2016,15.64
Germany,2016,12.4
Hungary,2016,0.43
Ireland,2016,0
Indonesia,2016,0.01
Iceland,2016,1.55
Italy,2016,4.54
Japan,2016,11.8
Latvia,2016,0.24
Lithuania,2016,0.04
Liechtenstein,2016,1.48
Luxembourg,2016,58.63
Mexico,2016,0.08
Malta,2016,0.47
Monaco,2016,28.89
Netherlands,2016,7.94
New Zealand,2016,0.57
Mongolia,2016,0
Peru,2016,0
Panama,2016,0.25
Norway,2016,50.2
Poland,2016,0.01
Romania,2016,0.01
Portugal,2016,0
Spain,2016,3.46
Sweden,2016,59.31
South Korea,2016,1.99
United Kingdom,2016,18.77
Switzerland,2016,12.21
United States,2016,9.41
Vietnam,2016,0
