Entity,Year,Share in news (Eisensee and Strömberg 2007),Fixed effects regression (Eisensee and Strömberg 2007),Equal coverage casualties ratio (Eisensee and Strömberg 2007)
Africa,2002,4,4,45
Asia,2002,13,4,43
Cold wave,2002,6,15,3150
Drought,2002,4,17,2395
Epidemic,2002,2,19,1696
Earthquake,2002,33,59,2
Europe,2002,18,25,1
Flood,2002,9,25,674
Fire,2002,14,49,12
Landslide,2002,7,23,882
Food shortage,2002,3,0,38920
Pacific,2002,3,0,91
Volcano,2002,30,64,1
Storm,2002,14,30,280
S. and C. America,2002,18,19,3
