Entity,Year,Share of landowners which are female (%)
Algeria,2011,4.1
Argentina,2011,16.2
American Samoa,2011,19.4
Armenia,2011,29.7
Austria,2011,34.5
Asia,2011,10.9
Belgium,2011,15.1
Bangladesh,2011,4.6
Belize,2011,8.1
Botswana,2011,34.7
Brazil,2011,12.7
Bulgaria,2011,22.8
Burkina Faso,2011,8.4
Canada,2011,27.4
Cape Verde,2011,50.5
Cote d'Ivoire,2011,10.1
Comoros,2011,32.6
Chile,2011,29.9
Czech Republic,2011,15.1
Cyprus,2011,20.6
Croatia,2011,22
Denmark,2011,9
Democratic Republic of Congo,2011,8.9
Developing countries,2011,12.1
Egypt,2011,5.2
Dominican Republic,2011,10.2
Ecuador,2011,25.4
Estonia,2011,35.8
Ethiopia,2011,19.5
El Salvador,2011,11.5
Finland,2011,11.1
Fiji,2011,3.6
Europe,2011,27.8
France,2011,22.7
Gambia,2011,8.3
Georgia,2011,29.1
Germany,2011,8.4
Greece,2011,27.7
Global,2011,12.8
Guinea,2011,5.7
Guatemala,2011,7.8
Guam,2011,12.5
Hungary,2011,26.3
Haiti,2011,25.3
Iceland,2011,15.4
Iran,2011,5.9
Indonesia,2011,8.8
India,2011,11.7
Ireland,2011,11.5
Italy,2011,30.7
Jamaica,2011,30.2
Laos,2011,9.1
Kyrgyzstan,2011,12.4
Jordan,2011,3
Latvia,2011,46.8
Lebanon,2011,7.1
Latin America and the Caribbean,2011,18.2
Lithuania,2011,47.7
Lesotho,2011,30.8
Luxembourg,2011,15.9
Malaysia,2011,18
Malawi,2011,32.1
Madagascar,2011,15.3
Mexico,2011,15.7
Mali,2011,3.1
Malta,2011,11.1
Moldova,2011,36.3
Montenegro,2011,12.9
Middle East and North Africa,2011,4.9
Mozambique,2011,23.1
Morocco,2011,4.4
Myanmar,2011,15
Netherlands,2011,6.1
Nicaragua,2011,23.3
Nepal,2011,8.1
Nigeria,2011,10
Northern Mariana Islands,2011,11.7
North America,2011,15.4
Panama,2011,29.3
Norway,2011,14.1
Oceania,2011,9.6
Poland,2011,29.7
Philippines,2011,10.8
Peru,2011,30.8
Romania,2011,32.4
Puerto Rico,2011,8.9
Portugal,2011,29.3
Saint Kitts and Nevis,2011,27.9
Saint Lucia,2011,29.7
Samoa,2011,22.9
Serbia,2011,18.1
Senegal,2011,9.1
Saudi Arabia,2011,0.8
Slovenia,2011,27.2
Slovakia,2011,17
Seychelles,2011,18.7
Spain,2011,21.7
Sri Lanka,2011,16.3
Sub-Saharan Africa,2011,15.4
Switzerland,2011,6.5
Sweden,2011,15.4
Tanzania,2011,19.7
Tunisia,2011,6.4
Trinidad and Tobago,2011,14.7
Thailand,2011,27.4
United Kingdom,2011,13.1
United States,2011,13.7
Uganda,2011,16.3
Uruguay,2011,19.7
Vietnam,2011,8.8
Venezuela,2011,19.7
Zambia,2011,19.2
